BUG,PORT,GROUP
35.172.32.95,443,tiktok
23.46.17.13,443,tiktok
23.46.17.14,443,tiktok
23.46.17.22,443,tiktok
23.46.17.24,443,tiktok
23.46.17.25,443,tiktok
23.46.17.27,443,tiktok
23.46.17.28,443,tiktok
23.46.17.7,443,tiktok
23.46.17.8,443,tiktok
23.35.98.41,443,tiktok
23.35.98.59,443,tiktok
23.35.98.48,443,tiktok
23.35.98.59,443,tiktok
23.35.98.64,443,tiktok
23.35.98.83,443,tiktok
23.206.171.10,443,tiktok
23.206.171.16,443,tiktok
23.206.171.19,443,tiktok
23.206.171.26,443,tiktok
23.206.171.33,443,tiktok
23.206.171.40,443,tiktok
23.206.171.43,443,tiktok
23.206.171.49,443,tiktok
23.206.171.51,443,tiktok
23.41.4.71,443,tiktok
23.41.4.88,443,tiktok
18.214.153.47,443,tiktok
52.87.107.230,443,tiktok
209.127.230.3,443,tiktok
35.172.32.95,80,tiktok
23.46.17.13,80,tiktok
23.46.17.14,80,tiktok
23.46.17.22,80,tiktok
23.46.17.24,80,tiktok
23.46.17.25,80,tiktok
23.46.17.27,80,tiktok
23.46.17.28,80,tiktok
23.46.17.7,80,tiktok
23.46.17.8,80,tiktok
23.35.98.41,80,tiktok
23.35.98.59,80,tiktok
23.35.98.48,80,tiktok
23.35.98.59,80,tiktok
23.35.98.64,80,tiktok
23.35.98.83,80,tiktok
23.206.171.10,80,tiktok
23.206.171.16,80,tiktok
23.206.171.19,80,tiktok
23.206.171.26,80,tiktok
23.206.171.33,80,tiktok
23.206.171.40,80,tiktok
23.206.171.43,80,tiktok
23.206.171.49,80,tiktok
23.206.171.51,80,tiktok
23.41.4.71,80,tiktok
23.41.4.88,80,tiktok
18.214.153.47,80,tiktok
52.87.107.230,80,tiktok
209.127.230.3,80,tiktok
