BUG,PORT,GROUP
abtest-sg-tiktok.byteoversea.com,443,tiktok
abtest-va-tiktok.byteoversea.com,443,tiktok
byteglb.com,443,tiktok
gts.byteoversea.net,443,tiktok
isnssdk.com,443,tiktok
lf1-ttcdn-tos.pstatp.com,443,tiktok
muscdn.com,443,tiktok
musemuse.cn,443,tiktok
musical.ly,443,tiktok
p16-ad-sg.ibyteimg.com,443,tiktok
p16-tiktok-sg.ibyteimg.com,443,tiktok
p16-tiktok-sign-va-h2.ibyteimg.com,443,tiktok
p16-tiktok-va-h2.ibyteimg.com,443,tiktok
p16-tiktok-va.ibyteimg.com,443,tiktok
p16-va-tiktok.ibyteimg.com,443,tiktok
p1-tt.byteimg.com,443,tiktok
p1-tt-ipv6.byteimg.com,443,tiktok
p26-tt.byteimg.com,443,tiktok
p3-tt-ipv6.byteimg.com,443,tiktok
p9-tt.byteimg.com,443,tiktok
pull-f3-hs.pstatp.com,443,tiktok
pull-f5-hs.flive.pstatp.com,443,tiktok
pull-f5-hs.pstatp.com,443,tiktok
pull-f5-mus.pstatp.com,443,tiktok
pull-flv-f1-hs.pstatp.com,443,tiktok
pull-flv-f6-hs.pstatp.com,443,tiktok
pull-flv-l1-hs.pstatp.com,443,tiktok
pull-flv-l1-mus.pstatp.com,443,tiktok
pull-flv-l6-hs.pstatp.com,443,tiktok
pull-hls-l1-mus.pstatp.com,443,tiktok
pull-l3-hs.pstatp.com,443,tiktok
pull-rtmp-f1-hs.pstatp.com,443,tiktok
pull-rtmp-f6-hs.pstatp.com,443,tiktok
pull-rtmp-l1-hs.pstatp.com,443,tiktok
pull-rtmp-l1-mus.pstatp.com,443,tiktok
pull-rtmp-l6-hs.pstatp.com,443,tiktok
quic-tiktok-core-proxy-i18n-gcpva.byteoversea.net,443,tiktok
quic-tiktok-proxy-i18n-gcpva.byteoversea.net,443,tiktok
sf16-ttcdn-tos.ipstatp.com,443,tiktok
sf1-ttcdn-tos.pstatp.com,443,tiktok
sf6-ttcdn-tos.pstatp.com,443,tiktok
sgsnssdk.com,443,tiktok
tiktokcdn.com,443,tiktok
tiktokcdn.com.atomile.com,443,tiktok
tiktokcdn.com.c.bytefcdn-oversea.com,443,tiktok
tiktokcdn.com.c.bytefcdn-ttpeu.com,443,tiktok
tiktokcdn.com.c.bytetcdn.com,443,tiktok
tiktokcdn.com.c.worldfcdn.com,443,tiktok
tiktokcdn.com.qlivecdn.com,443,tiktok
tiktokcdn.com.rocket-cdn.com,443,tiktok
tiktokcdn.com.tlivepush.com,443,tiktok
tiktokcdn-eu.com,443,tiktok
tiktokcdn-eu.net,443,tiktok
tiktokcdn-in.com,443,tiktok
tiktokcdn-us.com,443,tiktok
tiktokcdn-us.com.atomile.com,443,tiktok
tiktokcdn-us.com.c.worldfcdn2.com,443,tiktok
tiktok.com,443,tiktok
tiktokd.org,443,tiktok
tiktokglobalshop.com,443,tiktok
tiktokglobalshopv.com,443,tiktok
tiktok.in,443,tiktok
tiktok-lb-alisg.byteoversea.net,443,tiktok
tiktok-lb-maliva.byteoversea.net,443,tiktok
tiktok-lb-texas.useast5.byteoversea.net.byteigtm.com,443,tiktok
tiktokmusic.app,443,tiktok
tiktok-platform-lb-alisg.byteoversea.net,443,tiktok
tiktok-platform-lb-maliva.byteoversea.net,443,tiktok
tiktokshop.com,443,tiktok
tiktokstaticb.com,443,tiktok
tiktokv.com,443,tiktok
tiktokv.com.c.bytefcdn-oversea.com,443,tiktok
tiktokv.com.c.worldfcdn2.com,443,tiktok
tiktokv.com.c.worldfcdn.com,443,tiktok
tiktokv.eu,443,tiktok
tiktokv.us,443,tiktok
tiktokw.us,443,tiktok
tlivecdn.com,443,tiktok
ttapis.com,443,tiktok
ttdns2.com,443,tiktok
ttlivecdn.com,443,tiktok
ttlivecdn.com.c.bytefcdn-oversea.com,443,tiktok
ttlivecdn.com.c.worldfcdn.com,443,tiktok
ttoversea.net,443,tiktok
ttoverseaus.net,443,tiktok
ttwstatic.com,443,tiktok
abtest-sg-tiktok.byteoversea.com,80,tiktok
abtest-va-tiktok.byteoversea.com,80,tiktok
byteglb.com,80,tiktok
gts.byteoversea.net,80,tiktok
isnssdk.com,80,tiktok
lf1-ttcdn-tos.pstatp.com,80,tiktok
muscdn.com,80,tiktok
musemuse.cn,80,tiktok
musical.ly,80,tiktok
p16-ad-sg.ibyteimg.com,80,tiktok
p16-tiktok-sg.ibyteimg.com,80,tiktok
p16-tiktok-sign-va-h2.ibyteimg.com,80,tiktok
p16-tiktok-va-h2.ibyteimg.com,80,tiktok
p16-tiktok-va.ibyteimg.com,80,tiktok
p16-va-tiktok.ibyteimg.com,80,tiktok
p1-tt.byteimg.com,80,tiktok
p1-tt-ipv6.byteimg.com,80,tiktok
p26-tt.byteimg.com,80,tiktok
p3-tt-ipv6.byteimg.com,80,tiktok
p9-tt.byteimg.com,80,tiktok
pull-f3-hs.pstatp.com,80,tiktok
pull-f5-hs.flive.pstatp.com,80,tiktok
pull-f5-hs.pstatp.com,80,tiktok
pull-f5-mus.pstatp.com,80,tiktok
pull-flv-f1-hs.pstatp.com,80,tiktok
pull-flv-f6-hs.pstatp.com,80,tiktok
pull-flv-l1-hs.pstatp.com,80,tiktok
pull-flv-l1-mus.pstatp.com,80,tiktok
pull-flv-l6-hs.pstatp.com,80,tiktok
pull-hls-l1-mus.pstatp.com,80,tiktok
pull-l3-hs.pstatp.com,80,tiktok
pull-rtmp-f1-hs.pstatp.com,80,tiktok
pull-rtmp-f6-hs.pstatp.com,80,tiktok
pull-rtmp-l1-hs.pstatp.com,80,tiktok
pull-rtmp-l1-mus.pstatp.com,80,tiktok
pull-rtmp-l6-hs.pstatp.com,80,tiktok
quic-tiktok-core-proxy-i18n-gcpva.byteoversea.net,80,tiktok
quic-tiktok-proxy-i18n-gcpva.byteoversea.net,80,tiktok
sf16-ttcdn-tos.ipstatp.com,80,tiktok
sf1-ttcdn-tos.pstatp.com,80,tiktok
sf6-ttcdn-tos.pstatp.com,80,tiktok
sgsnssdk.com,80,tiktok
tiktokcdn.com,80,tiktok
tiktokcdn.com.atomile.com,80,tiktok
tiktokcdn.com.c.bytefcdn-oversea.com,80,tiktok
tiktokcdn.com.c.bytefcdn-ttpeu.com,80,tiktok
tiktokcdn.com.c.bytetcdn.com,80,tiktok
tiktokcdn.com.c.worldfcdn.com,80,tiktok
tiktokcdn.com.qlivecdn.com,80,tiktok
tiktokcdn.com.rocket-cdn.com,80,tiktok
tiktokcdn.com.tlivepush.com,80,tiktok
tiktokcdn-eu.com,80,tiktok
tiktokcdn-eu.net,80,tiktok
tiktokcdn-in.com,80,tiktok
tiktokcdn-us.com,80,tiktok
tiktokcdn-us.com.atomile.com,80,tiktok
tiktokcdn-us.com.c.worldfcdn2.com,80,tiktok
tiktok.com,80,tiktok
tiktokd.org,80,tiktok
tiktokglobalshop.com,80,tiktok
tiktokglobalshopv.com,80,tiktok
tiktok.in,80,tiktok
tiktok-lb-alisg.byteoversea.net,80,tiktok
tiktok-lb-maliva.byteoversea.net,80,tiktok
tiktok-lb-texas.useast5.byteoversea.net.byteigtm.com,80,tiktok
tiktokmusic.app,80,tiktok
tiktok-platform-lb-alisg.byteoversea.net,80,tiktok
tiktok-platform-lb-maliva.byteoversea.net,80,tiktok
tiktokshop.com,80,tiktok
tiktokstaticb.com,80,tiktok
tiktokv.com,80,tiktok
